,name,company,year,Price,kms_driven,fuel_type
543,Chevrolet Enjoy,Chevrolet,2014,18130,30201,Diesel
544,Maruti Suzuki Alto,Maruti,2017,10360,6200,Petrol
545,BMW 5 Series,BMW,2009,24050,37518,Petrol
546,Toyota Etios Liva,Toyota,2014,5920,24652,Petrol
547,Mahindra Jeep MM,Mahindra,2004,15688,383,Diesel
548,Chevrolet Beat LS,Chevrolet,2016,8325,95000,Diesel
549,Chevrolet Cruze LTZ,Chevrolet,2011,12950,35000,Diesel
550,Jeep Wrangler Unlimited,Jeep,2015,35150,3528,Diesel
551,Maruti Suzuki Ertiga,Maruti,2013,17945,52500,Diesel
552,Hyundai Verna VGT,Hyundai,2010,7585,47900,Diesel
553,Maruti Suzuki Omni,Maruti,2012,5920,14000,Petrol
554,Maruti Suzuki Celerio,Maruti,2018,11470,37000,Petrol
555,Tata Zest Quadrajet,Tata,2017,6660,90000,Diesel
556,Mahindra XUV500 W6,Mahindra,2013,20346,52800,Diesel
557,Tata Indigo CS,Tata,2016,5550,104000,Diesel
558,Hyundai i10 Era,Hyundai,2011,6475,30000,Petrol
559,Tata Indigo eCS,Tata,2014,3515,195000,Diesel
560,Tata Indigo LX,Tata,2016,8510,104000,Diesel
561,Tata Indigo eCS,Tata,2016,8510,104000,Diesel
562,Tata Indigo Marina,Tata,2004,6660,70000,Diesel
563,Hyundai Xcent SX,Hyundai,2015,14800,43000,Diesel
564,Hyundai Eon Magna,Hyundai,2013,6845,23000,Petrol
565,Renault Duster 85,Renault,2015,14245,51000,Diesel
566,Maruti Suzuki Alto,Maruti,2009,3330,62000,Petrol
567,Tata Nano LX,Tata,2010,1184,48008,Petrol
568,Renault Duster 110,Renault,2013,16095,39000,Diesel
569,Maruti Suzuki Wagon,Maruti,2010,8325,40000,Petrol
570,Maruti Suzuki Swift,Maruti,2006,7018,48247,Petrol
571,Maruti Suzuki Ertiga,Maruti,2012,14418,39000,Diesel
572,Maruti Suzuki Swift,Maruti,2014,13505,23000,Petrol
573,Maruti Suzuki Alto,Maruti,2017,13320,9400,Petrol
574,Hyundai i20 Magna,Hyundai,2010,7770,50000,Petrol
575,Hyundai i10 Magna,Hyundai,2009,6290,75000,Petrol
576,Tata Zest XE,Tata,2017,14060,70000,Diesel
577,Mahindra Xylo E8,Mahindra,2009,10915,64000,Diesel
578,Toyota Corolla Altis,Toyota,2010,6845,55000,Petrol
579,Tata Manza Aqua,Tata,2014,5920,200000,Diesel
580,Renault Kwid 1.0,Renault,2018,10730,2137,Petrol
581,Tata Venture EX,Tata,2013,3700,30000,Diesel
582,Maruti Suzuki Swift,Maruti,2014,11655,44000,Petrol
583,Skoda Octavia Classic,Skoda,2006,4254,65000,Diesel
584,Maruti Suzuki Omni,Maruti,2012,4440,160000,LPG
585,Chevrolet Beat Diesel,Chevrolet,2011,4625,56000,Diesel
586,Tata Sumo Gold,Tata,2012,7770,75000,Diesel
587,Hyundai Verna 1.6,Hyundai,2018,31635,42000,Diesel
588,Tata Sumo Gold,Tata,2012,7770,75000,Diesel
589,Mahindra Scorpio 2.6,Mahindra,2007,9620,56000,Diesel
590,Maruti Suzuki Zen,Maruti,2002,3515,10544,Petrol
591,Maruti Suzuki Swift,Maruti,2011,9435,64000,Petrol
592,Mahindra Scorpio SLX,Mahindra,2008,11100,70000,Diesel
593,Hyundai Grand i10,Hyundai,2014,12580,25000,Petrol
594,Hyundai Elite i20,Hyundai,2017,20350,15000,Petrol
595,Ford Ikon 1.6,Ford,2003,2220,50000,Petrol
596,Toyota Innova 2.5,Toyota,2011,27750,147000,Diesel
597,Nissan Sunny XL,Nissan,2011,8510,52000,Petrol
598,Chevrolet Beat LT,Chevrolet,2012,4810,90001,Diesel
599,Maruti Suzuki Alto,Maruti,2017,9990,21000,Petrol
600,Maruti Suzuki Swift,Maruti,2012,10360,48006,Diesel
601,Maruti Suzuki Swift,Maruti,2012,10360,48006,Diesel
602,Maruti Suzuki Swift,Maruti,2012,10360,48006,Diesel
603,Toyota Innova 2.0,Toyota,2012,22200,80000,Diesel
604,Maruti Suzuki Swift,Maruti,2010,7030,74000,Diesel
605,Hyundai Elite i20,Hyundai,2015,18500,22000,Petrol
606,Mahindra XUV500 W10,Mahindra,2016,39405,41000,Diesel
607,Volkswagen Polo Trendline,Volkswagen,2015,12950,25000,Diesel
608,Toyota Etios Liva,Toyota,2012,12950,85000,Diesel
609,Mahindra TUV300 T4,Mahindra,2016,19980,29500,Diesel
610,Hyundai Elite i20,Hyundai,2015,17390,30000,Petrol
611,Hyundai Santro Xing,Hyundai,2014,6623,57000,Petrol
612,Maruti Suzuki Zen,Maruti,2003,1776,60000,Petrol
613,Maruti Suzuki Ciaz,Maruti,2016,24050,50000,Petrol
614,Hyundai Eon Era,Hyundai,2013,7030,39700,Petrol
615,Hyundai Elantra 1.8,Hyundai,2012,18500,65000,Petrol
616,Maruti Suzuki Swift,Maruti,2010,9990,67000,Diesel
617,Maruti Suzuki Zen,Maruti,2008,4625,46000,Petrol
618,Hyundai Eon Era,Hyundai,2012,6956,38000,Petrol
619,Hyundai Grand i10,Hyundai,2016,14060,27000,Petrol
620,Hyundai Verna Fluidic,Hyundai,2011,13505,43000,Diesel
621,Ford EcoSport Trend,Ford,2014,17205,47000,Petrol
622,Hyundai i20 Magna,Hyundai,2011,8880,42000,Petrol
623,Chevrolet Beat Diesel,Chevrolet,2016,6659,19336,Diesel
624,Tata Indica eV2,Tata,2015,5180,60105,Diesel
625,Jaguar XF 2.2,Jaguar,2013,81030,29000,Diesel
626,Audi Q5 2.0,Audi,2014,88430,34000,Diesel
627,BMW 3 Series,BMW,2011,39775,35000,Diesel
628,Maruti Suzuki Swift,Maruti,2015,17575,22000,Petrol
629,BMW X1 sDrive20d,BMW,2012,37925,41000,Diesel
630,Maruti Suzuki S,Maruti,2016,22755,21000,Diesel
631,Maruti Suzuki Ertiga,Maruti,2013,17575,48000,Diesel
632,Maruti Suzuki Alto,Maruti,2016,9990,38000,Petrol
633,Honda City SV,Honda,2014,17575,34000,Diesel
634,Volkswagen Vento Comfortline,Volkswagen,2011,8880,45933,Petrol
635,Honda City 1.5,Honda,2005,4440,68000,Petrol
636,Audi A4 2.0,Audi,2016,70300,44000,Diesel
637,Mahindra KUV100,Mahindra,2017,13320,35000,Diesel
638,Tata Zest XE,Tata,2018,16650,102563,Diesel
639,Mahindra XUV500 W8,Mahindra,2015,33300,28600,Diesel
640,Maruti Suzuki Swift,Maruti,2017,24050,41800,Diesel
641,Tata Sumo Gold,Tata,2014,10175,116000,Diesel
642,Maruti Suzuki Swift,Maruti,2009,7770,59000,Petrol
643,Mahindra Scorpio 2.6,Mahindra,2004,6475,58000,Diesel
644,Maruti Suzuki Omni,Maruti,2009,3145,45000,Petrol
645,Mitsubishi Pajero Sport,Mitsubishi,2015,55130,42590,Diesel
646,Renault Duster,Renault,2014,29600,7400,Diesel
647,Volkswagen Jetta Comfortline,Volkswagen,2009,16650,54500,Diesel
648,Maruti Suzuki Ertiga,Maruti,2012,37000,200000,Diesel
649,Audi A4 2.0,Audi,2013,55870,27000,Diesel
650,Volvo S80 Summum,Volvo,2015,68450,42000,Diesel
651,Toyota Corolla Altis,Toyota,2014,29230,29000,Petrol
652,Mitsubishi Pajero Sport,Mitsubishi,2015,63825,37000,Diesel
653,Chevrolet Beat LT,Chevrolet,2012,4995,36000,Petrol
654,BMW X1,BMW,2011,37000,34000,Diesel
655,Datsun Redi GO,Datsun,2018,11099,7000,Petrol
656,Mercedes Benz C,Mercedes,2009,45325,76000,Diesel
657,Mahindra Scorpio SLX,Mahindra,2004,6475,60000,Diesel
658,Volkswagen Vento Comfortline,Volkswagen,2011,7400,95000,Diesel
659,Tata Indigo CS,Tata,2017,9990,50000,Diesel
660,Ford Figo Petrol,Ford,2019,19425,0,Petrol
661,Honda City ZX,Honda,2006,6660,50000,Petrol
662,Maruti Suzuki Wagon,Maruti,2008,5180,68000,Petrol
663,Ford EcoSport Trend,Ford,2014,14800,16000,Petrol
664,Maruti Suzuki Swift,Maruti,2016,18463,51000,Diesel
665,Maruti Suzuki Omni,Maruti,2009,3145,56000,Petrol
666,Maruti Suzuki Zen,Maruti,2004,2590,100000,Petrol
667,Renault Duster RxL,Renault,2015,20350,36000,Petrol
668,Maruti Suzuki Swift,Maruti,2014,13690,11523,Petrol
669,Maruti Suzuki Baleno,Maruti,2018,25530,1000,Petrol
670,Honda WR V,Honda,2009,9250,60000,Petrol
671,Tata Indigo CS,Tata,2016,4070,85000,Diesel
672,Renault Duster 110,Renault,2013,18130,38600,Diesel
673,Mahindra Scorpio LX,Mahindra,2009,11840,95500,Diesel
674,Maruti Suzuki Zen,Maruti,2004,2516,56000,Petrol
675,Maruti Suzuki Wagon,Maruti,2014,4810,37458,Petrol
676,Maruti Suzuki SX4,Maruti,2016,35890,85960,Diesel
677,Audi A3 Cabriolet,Audi,2015,114700,12516,Petrol
678,Hyundai Eon D,Hyundai,2018,10360,35000,Petrol
679,Maruti Suzuki Zen,Maruti,2009,4625,0,Petrol
680,Mahindra Scorpio SLX,Mahindra,2008,10545,80000,Diesel
681,Hyundai Santro AE,Hyundai,2011,6105,45000,Petrol
682,Maruti Suzuki Swift,Maruti,2009,9250,51000,Diesel
683,Mahindra Scorpio S4,Mahindra,2015,32005,30000,Diesel
684,Mahindra Xylo D2,Mahindra,2011,14430,48000,Diesel
685,Hyundai Santro,Hyundai,2003,2220,51000,Petrol
686,Chevrolet Beat LT,Chevrolet,2015,7955,90000,Diesel
687,Maruti Suzuki Swift,Maruti,2015,17575,43000,Diesel
688,Mahindra XUV500 W8,Mahindra,2015,33263,53000,Diesel
689,Toyota Fortuner 3.0,Toyota,2013,55463,97000,Diesel
690,Maruti Suzuki Alto,Maruti,2013,8880,20000,Petrol
691,Hyundai Getz GLE,Hyundai,2007,3663,55000,Petrol
692,Maruti Suzuki Swift,Maruti,2014,9620,120000,Diesel
693,Hyundai Creta 1.6,Hyundai,2019,44400,0,Petrol
694,Hyundai Santro Xing,Hyundai,2007,4255,46000,Petrol
695,Hyundai Santro Xing,Hyundai,2009,3256,43200,Petrol
696,Mahindra Xylo D2,Mahindra,2011,14430,56000,Diesel
697,Hyundai Santro Xing,Hyundai,2007,4995,42000,Petrol
698,Tata Indica V2,Tata,2009,3330,30600,Diesel
699,Hyundai i10 Sportz,Hyundai,2011,8140,38000,Petrol
700,Hyundai Grand i10,Hyundai,2017,15724,2550,Petrol
701,Hyundai Santro Xing,Hyundai,2007,4995,47000,Petrol
702,Honda City 1.5,Honda,2005,3515,41000,Petrol
703,Nissan Micra XL,Nissan,2017,15910,62500,Diesel
704,Honda City 1.5,Honda,2005,4255,68000,Petrol
705,Maruti Suzuki Alto,Maruti,2015,7955,50000,Petrol
706,Maruti Suzuki Wagon,Maruti,2004,1961,69000,Petrol
707,Maruti Suzuki Ertiga,Maruti,2012,18500,48000,Diesel
708,Tata Indica eV2,Tata,2012,3145,55000,Diesel
709,Maruti Suzuki Omni,Maruti,2013,6105,25000,Petrol
710,Hyundai Eon Era,Hyundai,2014,7400,28400,Petrol
711,Hyundai Eon,Hyundai,2014,7400,28000,Petrol
712,Maruti Suzuki Swift,Maruti,2015,15725,42000,Diesel
713,Hyundai Verna 1.6,Hyundai,2012,22200,29000,Diesel
714,Chevrolet Tavera LS,Chevrolet,2005,4810,68485,Diesel
715,Tata Tiago Revotron,Tata,2018,15910,3500,Petrol
716,Tata Tiago Revotorq,Tata,2019,21034,0,Petrol
717,Maruti Suzuki Zen,Maruti,2006,2627,32000,Petrol
718,Mahindra KUV100 K8,Mahindra,2018,20720,8000,Diesel
719,Ford EcoSport Titanium,Ford,2014,21830,34000,Diesel
720,Hindustan Motors Ambassador,Hindustan,1995,27750,37000,Petrol
721,Ford Fusion 1.4,Ford,2007,4625,85455,Diesel
722,Hyundai Santro Xing,Hyundai,2007,4995,46000,Petrol
723,Hyundai Santro,Hyundai,2002,2220,47000,Petrol
724,Fiat Linea Emotion,Fiat,2009,4440,64000,Petrol
725,Ford Ikon 1.3,Ford,2008,3515,46000,Petrol
726,Maruti Suzuki Omni,Maruti,2017,8880,8000,Petrol
727,Tata Indica V2,Tata,2012,4255,64000,Diesel
728,Mahindra Scorpio S4,Mahindra,2015,29415,63000,Diesel
729,Hyundai Santro Xing,Hyundai,2007,2035,65000,Petrol
730,Mahindra Xylo D2,Mahindra,2009,11100,62000,Diesel
731,Hyundai Grand i10,Hyundai,2014,11840,41000,Petrol
732,Maruti Suzuki Alto,Maruti,2015,9805,14000,Petrol
733,Toyota Corolla,Toyota,2006,5920,40000,Petrol
734,Hyundai Eon Magna,Hyundai,2017,11100,1600,Petrol
735,Tata Sumo Grande,Tata,2010,4810,90000,Diesel
736,Maruti Suzuki Swift,Maruti,2011,9250,58000,Diesel
737,Volkswagen Polo Highline1.2L,Volkswagen,2013,14060,27000,Petrol
738,Maruti Suzuki Alto,Maruti,2003,1554,60000,Petrol
739,Tata Tiago Revotron,Tata,2017,14800,31000,Petrol
740,Maruti Suzuki Swift,Maruti,2009,4440,90000,Diesel
741,Maruti Suzuki Swift,Maruti,2009,4440,90000,Diesel
742,Tata Indigo eCS,Tata,2016,4810,150000,Diesel
743,Chevrolet Beat LS,Chevrolet,2014,6993,31000,Diesel
744,Mahindra Xylo E8,Mahindra,2011,13505,43000,Diesel
745,Hyundai Eon D,Hyundai,2013,6290,20000,Petrol
746,Tata Sumo Gold,Tata,2013,7955,100000,Petrol
747,Tata Nano,Tata,2013,2220,7000,Petrol
748,Hyundai Elite i20,Hyundai,2017,22199,31000,Petrol
749,Hyundai i10 Magna,Hyundai,2009,14800,33000,Petrol
750,Hyundai Creta,Hyundai,2016,33300,60000,Diesel
751,Volkswagen Polo,Volkswagen,2013,11099,48000,Diesel
752,Maruti Suzuki Dzire,Maruti,2014,13874,33000,Petrol
753,Tata Bolt XM,Tata,2015,22200,15000,Petrol
754,Maruti Suzuki Alto,Maruti,2005,2590,47000,Petrol
755,Maruti Suzuki Alto,Maruti,2005,3700,40000,Petrol
756,Maruti Suzuki Ritz,Maruti,2010,5550,38000,Diesel
757,Maruti Suzuki Alto,Maruti,2017,8325,12500,Petrol
758,Maruti Suzuki Dzire,Maruti,2009,7770,42000,Petrol
759,Hyundai i20 Asta,Hyundai,2014,15725,31000,Petrol
760,Maruti Suzuki Swift,Maruti,2008,5994,60000,Diesel
761,Tata Indica V2,Tata,2005,2220,80000,Diesel
762,Mahindra Scorpio VLX,Mahindra,2014,24050,77000,Diesel
763,Toyota Innova 2.5,Toyota,2012,27750,75000,Diesel
764,Mahindra Xylo E8,Mahindra,2010,13875,40000,Diesel
765,Hyundai i20 Magna,Hyundai,2011,8510,47000,Petrol
766,Maruti Suzuki Omni,Maruti,2000,1331,60000,Petrol
767,Mahindra KUV100,Mahindra,2016,14060,26500,Petrol
768,Mahindra KUV100 K8,Mahindra,2019,20720,2875,Petrol
769,Datsun Go Plus,Datsun,2016,10545,13900,Petrol
770,Ford Endeavor 4x4,Ford,2019,107300,9000,Diesel
771,Tata Indica V2,Tata,2005,1479,80000,Diesel
772,Hyundai Santro Xing,Hyundai,2006,3145,60000,Petrol
773,Maruti Suzuki Wagon,Maruti,2016,14615,20000,Petrol
774,Maruti Suzuki Swift,Maruti,2008,6475,58000,Diesel
775,Maruti Suzuki Alto,Maruti,2019,14800,1500,Petrol
776,Toyota Innova 2.5,Toyota,2011,27750,75000,Diesel
777,Maruti Suzuki Alto,Maruti,2016,9250,2450,Petrol
778,Maruti Suzuki Alto,Maruti,2019,15725,1625,Petrol
779,Volkswagen Polo Highline1.2L,Volkswagen,2017,19425,45000,Petrol
780,Mahindra Logan,Mahindra,2009,4810,65000,Diesel
781,Maruti Suzuki 800,Maruti,2000,1110,33400,Petrol
782,Mahindra Scorpio,Mahindra,2011,17575,60123,Diesel
783,Chevrolet Sail 1.2,Chevrolet,2013,11100,28000,Petrol
784,Hyundai Santro AE,Hyundai,2003,2220,70000,Petrol
785,Maruti Suzuki Wagon,Maruti,2006,3700,7000,Petrol
786,Hyundai Eon,Hyundai,2018,9620,25000,Petrol
787,Tata Manza,Tata,2015,3700,100000,Diesel
788,Toyota Etios G,Toyota,2013,9805,42000,Petrol
789,Hyundai Getz Prime,Hyundai,2009,4255,20000,Petrol
790,Toyota Qualis,Toyota,2003,6660,100000,Diesel
791,Hyundai Santro Xing,Hyundai,2004,1665,137495,Petrol
792,Tata Indica eV2,Tata,2016,1868,91200,Diesel
793,Honda City 1.5,Honda,2009,9990,55000,Petrol
794,Tata Zest XE,Tata,2017,10730,120000,Diesel
795,Mahindra Quanto C4,Mahindra,2013,12025,63000,Diesel
796,Tata Indigo eCS,Tata,2016,5920,104000,Diesel
797,Maruti Suzuki Swift,Maruti,2016,12950,146000,Diesel
798,Hyundai Elite i20,Hyundai,2011,10730,40000,Petrol
799,Hyundai i20 Select,Hyundai,2011,10730,40000,Petrol
800,Chevrolet Tavera Neo,Chevrolet,2007,17205,100800,Diesel
801,Maruti Suzuki Dzire,Maruti,2016,12025,150000,Diesel
802,Hyundai Elite i20,Hyundai,2018,18870,2100,Petrol
803,Honda City VX,Honda,2016,31820,95000,Petrol
804,Maruti Suzuki Dzire,Maruti,2016,16650,2500,Diesel
805,Hyundai Getz,Hyundai,2006,4625,80000,Petrol
806,Mercedes Benz C,Mercedes,2006,18500,15000,Petrol
807,Maruti Suzuki Alto,Maruti,2005,3515,65000,Petrol
808,Maruti Suzuki Swift,Maruti,2009,9250,51000,Diesel
809,Skoda Fabia,Skoda,2009,4070,45000,Petrol
810,Maruti Suzuki Ritz,Maruti,2011,9990,50000,Petrol
811,Tata Indica V2,Tata,2009,4070,30000,Diesel
812,Toyota Corolla Altis,Toyota,2009,11100,132000,Petrol
813,Tata Zest XM,Tata,2018,9620,27000,Diesel
814,Mahindra Quanto C8,Mahindra,2013,14430,40000,Diesel
